"PK_Parameters","Parameter","NameLong","Units","Label","ParamR","EcoWatchName","KorCalName","KorExportName","OtherName","WDL_name","HydstraNum","CDECNum","USGSNum","ProbeType","Hydstra_WQS_Full_Column","WQESPrimary","ParamOrder","Param_old","WQESRatingPrimary","WDL_Param"
1,"Temp_C","Temperature","°C","Temperature (°C)","Temp","Temp",,"Temp °C",,"WATER_TEMPERATURE_POINT","450","25","00010","Temp/EC",2,1,1,"Temp",1,"WaterTemp"
2,"SpCond_uS/cm","Conductivity","µS/cm","Specific Conductivity (µS/cm)","SpCond","SpCond","Sp Cond (µS/cm)","SpCond µS/cm",,"CONDUCTIVITY_POINT","821","100","00095","Temp/EC",14,1,4,"SpCond",1,"ECat25C"
3,"Turbidity_NTU","Turbidity","NTU","Turbidity (NTU)",,,"Turbidity (NTU)","Turbidity NTU",,"TURBIDITY_POINT","810","27",,"Turbidity",,1,10,"Turb_",0,
4,"Turbidity_FNU","Turbidity","FNU","Turbidity (FNU)","Turb","Turbid+","Turbidity (FNU)","Turbidity FNU",,"TURBIDITY_POINT","810","27","63680","Turbidity",17,1,9,"Turb",1,"Turbidity"
5,"pH","pH",,"pH","pH","pH","pH","pH",,"PH_POINT","860","62",,"pH",11,1,7,"pH",1,"pH"
6,"DO_sat","DO Percent","%","DO Percent (%)","DOsat","ODOsat","DO (% Sat)","ODO % sat",,"PERCENTAGE_DISSOLVED_OXYGEN_POINT","865",,,"DO",8,1,2,"DOsat",0,"DissolvedOxygenPercentage"
7,"DO_mg/L","DO Concentration","mg/L","DO Concentration (mg/L)","DOconc","ODO","DO (mg/L)","ODO mg/L",,"OXYGEN_DISSOLVED_POINT","2351","61","00300","DO",5,1,3,"DOc",1,"DissolvedOxygen"
8,"Chlorophyll_ug/L","Chlorophyll","µg/L","Chlorophyll (µg/L)","Chlor","Chl","Chlorophyll (µg/L)","Chlorophyll ug/L",,"TOTAL_CHLOROPHYLL_POINT","7004","28","32316","Chlorophyll",23,1,14,"Chlor",1,"Chlorophyll"
9,"Chlorophyll_RFU","Chlorophyll","RFU","Chlorophyll (RFU)","ChlorR",,"Chlorophyll (RFU)","Chlorophyll RFU",,"TOTAL_CHLOROPHYLL_POINT","7006",,,"Chlorophyll",,1,13,"Chlor_",0,
10,"BGA_ug/L","Phycocyanin","µg/L",,"BGA",,"Phycocyanin (µg/L)","TAL PC ug/L","BGA PC ug/L",,,,,"Chlorophyll",29,1,12,"BGA",1,"Phycocyanin"
