"PK_Stations","StationCode","StationName","ID_HydstraWQ","ID_HydstraFlow","ID_HydstraSurface","ID_USGS","ID_FLIMS","Region","Group","SubGroup","WQESmanaged","RunName","Access","LeadStaff","Latitude_WGS84_f","Longitude_WGS84_f","Latitude_NAD83_f","Longitude_NAD83_f","MapNum","PlotOrder","FundingSource","WQESCode","Terminated","Telemetry","SondeSeries","Logger_Variant","SeasonalStation"
89,"MDM","Middle River at Middle River",,,,"11312676",,"South Delta",,,0,,,,"","","","",,,,,0,0,,,0
90,"OH4","Old River at Highway 4",,,,"11313315",,"South Delta",,,0,,,,"","","","",,,,,0,0,,,0
91,"RVB","Sacramento River at Rio Vista Bridge",,,,,,"North Delta",,,0,,,,"","","","",,,,,0,0,,,0
92,"RYF","Cache Slough above Ryer Island Ferry",,,,"11455385",,"North Delta",,,0,,,,"","","","",,,,,0,0,,,0
93,"LIB","Liberty Island at Approx Cntr S End",,,,"11455315",,"Yolo Bypass",,,0,,,,"","","","",,,,,0,0,,,0
95,"DSJ","Dutch Slough at Jersey Island",,,,"11313433",,"South Delta",,,0,,,,"","","","",,,,,0,0,,,0
96,"SUS","Steam Boat Slough below Sutter Slough","B91479",,,,,"North Delta",,,0,,,,"","","","",,,,,0,0,,,0
97,"MHCM","Mountain House Creek (SOR31)","B9536900",,,,,"South Delta",,,1,,"Boat","DColvin","37.79691800","-121.52564200","","",,,,,0,0,"Hobo","WQS-EC",0
98,"WCNM","Wicklund Cut near Mouth (SOR28)","B9537100",,,,,"South Delta",,,1,,"Boat","DColvin","37.78972600","-121.51624400","","",,,,,0,0,,"WQS-EC",0
99,"WCBR","Wicklund Cut at Bethany Rd Bridge","B9537200",,,,,"South Delta",,,1,,"Boat","DColvin","37.78038600","-121.51732078","","",,,,,0,0,,"WQS-EC",0
100,"OBRD","Old River at Bethany Rd Drain (SOR24)","B9537400",,,,,"South Delta",,,1,,"Boat","DColvin","37.78530000","-121.50460000","","",,,,,0,0,,"WQS-EC",0
101,"OLRD","Old River at Lammers Rd Drain (SOR20)",,,,,,"South Delta",,,1,,"Boat","DColvin","37.78630000","-121.47720000","","",,,,,0,0,,"WQS-EC",0
102,"OTBD","Old River upstream of Tracy Blvd Drain (SOR16U)","B9538100",,,,,"South Delta",,,1,,"Boat","DColvin","37.80198200","-121.44283100","","",,,,,0,0,,"WQS-EC",0
103,"PCCD","Old River at Paradise Cut Confluence Downstream","B9538500",,,,,"South Delta",,,1,,"Boat","DColvin","37.80422900","-121.42022400","","",,,,,0,0,,"WQS-EC",0
104,"PCCU","Old River at Paradise Cut Confluence Upstream","B9538600",,,,,"South Delta",,,1,,"Boat","DColvin","37.80689200","-121.41468100","","",,,,,0,0,,"WQS-EC",0
105,"OTWW","Old River downstream of Tracy WW outfall (SOR7)","B9538900",,,,,"South Delta",,,1,,"Boat","DColvin","37.80642200","-121.40864200","","",,,,,0,0,,"WQS-EC",0
106,"TPP","Tom Paine Slough near Pescadero","B95425",,"B95425",,"B9542500","South Delta",,,0,,"Boat","DColvin","37.76728500","-121.35107100","37.76738889","-121.35108330",,,,,0,0,,,0
